# brand	model	width	height	dpi — portrait pixels; generated by gen, do not edit
Digma	CITI_Kids	600	1024	160
Digma	CITI_Kids_10	800	1280	213
Digma	CITI_Kids_81_CS8233MG	800	1280	213
Digma	CITI_Octa_10_CS1219PL	1200	1920	280
Digma	CS1235PL	800	1280	213
Digma	CS7113PL	800	1280	240
Digma	CS7204MG	800	1280	160
Digma	CS7217PL	1200	1920	280
Digma	CS7234PL	1200	1920	320
Digma	CS8205PG	800	1280	240
Digma	CS8218PL	1200	1920	320
Digma	CS8231PL	800	1280	213
Digma	CS8268PL	1200	1920	320
Digma	DIGMA CITI 1508 4G CS1114ML	1200	1920	320
Digma	DIGMA CITI 1576 3G CS1194MG	800	1280	160
Digma	DIGMA CITI 1577 3G CS1195MG	800	1280	160
Digma	DIGMA CITI 1578 4G CS1196ML	800	1280	160
Digma	DIGMA CITI 3000 4G CS3001ML	1080	1920	240
Digma	DIGMA HIT Q401 3G HT4039PG	480	800	240
Digma	DIGMA LINX BASE 4G LT5052ML	480	960	240
Digma	DIGMA LINX PAY 4G LS5053ML	720	1440	320
Digma	DIGMA Optima 1023N 3G TS1186MG	800	1280	160
Digma	DIGMA Optima 1025N 4G TS1190ML	800	1280	213
Digma	DIGMA Optima 1026N 3G TT1192PG	600	1024	160
Digma	DIGMA Plane 1523 3G PS1135MG	800	1280	160
Digma	DIGMA Plane 1525 3G PS1137MG	800	1280	160
Digma	DIGMA Plane 1538E 3G PS1150ML	1200	1920	320
Digma	DIGMA Plane 1550S 3G PS1163MG	800	1280	160
Digma	DIGMA Plane 1572N 3G PS1187MG	800	1280	160
Digma	Digma Plane 1584S 3G PS1201PG	800	1280	160
Digma	Digma Plane 1585S 4G PS1502PL	800	1280	213
Digma	DIGMA Plane 1713T 3G PT1138MG	600	1024	160
Digma	DIGMA Plane 1715T 4G PT1139PL	600	1024	160
Digma	Digma Plane 7580S 4G PS7192PL	600	1024	213
Digma	Digma Plane 8580 4G PS8199ML	800	1280	160
Digma	DIGMA Plane 9654M 3G PS9167PG	800	1280	213
Digma	Digma Platina 1579M 4G NS1800ML	1200	1920	240
Digma	G8_DA6B8P02	800	1280	213
Digma	K10_PLUS	800	1280	213
Digma	Odyssey	1440	2200	360
Digma	Optima 10 E600 3G TS1246PG	800	1280	213
Digma	Optima 1028 3G TS1215PG	800	1280	213
Digma	Optima 1411D 4G TS1273PL	800	1280	213
Digma	Optima 1440E 4G TS1269PL	1200	1920	320
Digma	Optima 7 A102 3G TS7243PG	600	1024	160
Digma	Optima 7 E200 3G TS7244PG	600	1024	160
Digma	Optima 8258C 4G TS8275ML	800	1280	213
Digma	Optima_10_A500S_3G_TS1220PG	800	1280	213
Digma	Optima_10_A502_3G_TS1245PG	800	1280	213
Digma	Optima_10_X702_4G	800	1280	213
Digma	Optima_1200B	800	1280	213
Digma	Optima_7_A100S_3G_TS7222PG	600	1024	160
Digma	Optima_7_A101_3G	600	1024	160
Digma	Optima_7_X700_4G	800	1280	213
Digma	Optima_8027_3G	800	1280	240
Digma	Optima_8250C	800	1280	213
Digma	Optima_8_X701_4G	800	1280	213
Digma	Optima_8_Z801_4G	1200	1920	240
Digma	Plane 7547S 3G PS7159PG	600	1024	160
Digma	Plane 8595 3G PS8212PG	800	1280	213
Digma	Plane_1596_3G_PS1213PG	800	1280	213
Digma	Plane_8548S_3G	800	1280	213
Digma	Plane_8549S_4G	800	1280	213
Digma	Pro 1480E 4G	1200	2000	280
Digma	PRO 1600E 4G	1200	2000	280
Digma	PRO 1800F 4G	1200	2000	280
Digma	PS7210PG	600	1024	213
Digma	PS8163PL	800	1280	240
Digma	R8	800	1280	213
Digma	RS1253PL	1200	2000	280
Digma	TS1221PL	800	1280	213
Digma	TS1229PL	1200	1920	240
Digma	TS1277ML	800	1280	213
Digma	TS7225PL	1200	1920	320
Digma	Z10	800	1280	213
DIGMA_PRO	Edge TA2D1M01	1200	1920	280
DIGMA_PRO	Edge TA3D1M01	1200	1920	280
DIGMA_PRO	Edge TA3E1M01	1200	1920	280
DIGMA_PRO	K16_EEA	800	1280	160
DIGMA_PRO	TA2D5P02	1200	1920	280
DIGMA_PRO	TA3E2M03	1600	2560	320
DIGMA_PRO	Zenith_II	1200	1920	280
DIJITSU	DCT 90	720	1600	320
DIJITSU	Smart A11s	720	1600	320
DingDong	IB101F_UAG	1200	1920	280
Dish	Celero 5G	720	1600	300
Dish	Celero 5G 2.0	720	1600	280
Dish	Celero3 5G	720	1600	280
Dish	Celero3 5G+	1080	2460	400
Dish	Celero5G SC	720	1612	280
Dish	CSSL104DBL16	480	960	200
Dish	EU001	480	800	200
Dish	SL201D	720	1440	320
Dish	Summit 5G	720	1612	280
Disney	DISNEYTAB	800	1280	160
Disney	Frozen_G9	600	1024	160
Disney Pixar	Toy_story	600	1024	160
Ditecma	M1092R	800	1280	160
Ditecma	M1092RV5	1200	1920	240
Ditecma	XP	1080	2400	480
Diva	T10K_Plus	800	1280	213
Diva	T7K_PLUS_SE3_EEA	600	1024	160
Dixon	DFM48	480	960	200
Dixon	DN6023D	480	960	213
Dixon	DN6901	720	1640	320
Dixon	L-5	442	960	240
Dixon	L1	720	1560	320
Dixon	S5790	720	1520	300
Dixon	S90	720	1560	320
Dixon	TS-M105D	800	1280	180
Dixon	TS-M105D-MKII	800	1280	180
Dixon	TS-M105G-1	800	1280	160
Dixon	TS-M704F-1	800	1280	160
Dixon	TS-M704G	800	1280	238
Dixon	TS_M103A	1200	1920	240
DL	3420	600	1024	160
DL	Creative kids	600	1024	160
DL	Creative Kids	600	1024	160
DL	Creative Tab	600	1024	160
DL	Horizon Tab T10	800	1280	160
DL	Mobi Tab	600	1024	160
DL	Sabichões	600	1024	160
DL	TabFácil	768	1024	160
DL	TabKids Plus	600	1024	160
DL	Tablet_DL_3724	600	1024	160
DMOAO	D11_EEA	1200	2000	240
DMOAO	D3_EEA	800	1280	160
DMOAO	D3_US	800	1280	160
DMOAO	D3_V_EEA	800	1280	213
DMOAO	D3_V_US	800	1280	213
DMOAO	D5-T-EEA	800	1280	180
DMOAO	D5-T-US	800	1280	180
DMOAO	D5_EEA	800	1280	160
DMOAO	D5_US	800	1280	160
DMOAO	D6_EEA	600	1024	160
DMOAO	D6_US	600	1024	160
DMOAO	D7_EEA	800	1280	160
DMOAO	D7_US	800	1280	160
DMOAO	DMOAO_D2_EEA	800	1280	200
DMOAO	DMOAO_D2_US	800	1280	200
DO Mobile	Mate6 Pro	720	1612	320
Docomo	d-01J	1600	2560	400
Docomo	d-01K	1200	1920	240
Docomo	d-02K	1200	1920	320
DOEL	TT 7.0	800	1280	320
DOMATON	D102	800	1280	213
DOMATON	D718	600	1024	160
DOMATON	K111	800	1280	160
DOMATON	MID_1099IPS	800	1280	160
DOMATON	Ocean_K10	800	1280	160
DOMO	M90	800	1280	213
DOMO	Slate	1200	1920	280
DOMO	Slate_F11	800	1280	213
Doogee	B10	900	2000	420
Doogee	B10 Pro	900	2000	420
Doogee	BL12000	1080	2160	480
Doogee	BL5000	1080	1920	480
Doogee	BL5500_Lite	720	1500	320
Doogee	BL7000	1080	1920	480
Doogee	Blade GT	1080	2400	480
Doogee	Blade GT Play	1080	2400	480
Doogee	Blade GT Pro	1080	2400	480
Doogee	Blade GT Ultra	1080	2400	480
Doogee	Blade10	720	1612	320
Doogee	Blade10 Energy	720	1612	320
Doogee	Blade10 Max	720	1612	320
Doogee	Blade10 Power	720	1612	320
Doogee	Blade10 Pro Energy	720	1612	320
Doogee	Blade10 Ultra	720	1612	320
Doogee	Blade10 Ultra Energy	720	1612	320
Doogee	Blade20	720	1612	320
Doogee	Blade20 Max	720	1612	320
Doogee	Blade20 Play	720	1612	320
Doogee	Blade20 Pro	720	1612	320
Doogee	Blade20 Turbo	720	1612	320
Doogee	Blade20 Ultra	720	1612	480
Doogee	DK10	1080	2400	480
Doogee	F10S	720	1612	320
Doogee	Fire 3	720	1440	320
Doogee	Fire 3 Max	720	1440	320
Doogee	Fire 3 Pro	720	1440	320
Doogee	Fire 3 Ultra	720	1440	320
Doogee	Fire 5	720	1612	320
Doogee	Fire 5 Pro	720	1612	320
Doogee	Fire 5 Ultra	720	1612	320
Doogee	Fire 6 Max	1080	2400	480
Doogee	Fire 7	720	1612	320
Doogee	Fire 7 Max	720	1612	320
Doogee	Fire 7 Pro	720	1612	320
Doogee	Fire_6	720	1612	320
Doogee	Fire_6_Power	720	1612	320
Doogee	M30	720	1640	320
Doogee	M30 Max	720	1640	320
Doogee	Mix	720	1280	320
Doogee	MIX Lite	720	1280	320
Doogee	N10	1080	2280	480
Doogee	N100	1080	2160	480
Doogee	N20	1080	2280	480
Doogee	N20Pro	1080	2280	480
Doogee	N30	720	1600	320
Doogee	N40Pro	720	1600	320
Doogee	N50	720	1600	320
Doogee	N50Pro	720	1600	320
Doogee	N50S	720	1600	320
Doogee	N55	720	1612	320
Doogee	N55 Plus	720	1612	320
Doogee	N55 Pro	720	1612	320
Doogee	N55S	720	1612	320
Doogee	Note 56	720	1612	320
Doogee	Note 56X	720	1612	320
Doogee	Note 58	720	1600	320
Doogee	Note 59	720	1600	320
Doogee	Note56 Lite	720	1612	320
Doogee	Note56 Plus	720	1612	320
Doogee	Note56 Pro	720	1612	320
Doogee	Note56 X	720	1612	320
Doogee	Note56X Pro	720	1612	320
Doogee	Note58 Pro	720	1600	320
Doogee	Note59 Pro	720	1600	320
Doogee	Note59 Pro+	720	1600	320
Doogee	P3Mini Kid	1200	1920	280
Doogee	R08	800	1280	200
Doogee	R10	1200	2000	240
Doogee	R20	1200	2000	240
Doogee	S cyber	1080	2408	480
Doogee	S cyber Pro	1080	2408	480
Doogee	S punk	1080	2408	480
Doogee	S punk Pro	1080	2408	480
Doogee	S100	1080	2408	480
Doogee	S100Pro	1080	2408	480
Doogee	S110	1080	2408	480
Doogee	S118	1080	2408	480
Doogee	S118 Pro	1080	2408	480
Doogee	S119	1080	2400	480
Doogee	S200	1080	2400	480
Doogee	S200 E	1080	2400	480
Doogee	S200 Max	1080	2400	480
Doogee	S200 Plus	1080	2400	480
Doogee	S200 Ultra	1080	2400	480
Doogee	S200 X	1080	2400	480
Doogee	S30	720	1280	320
Doogee	S300 Plus	1080	2460	480
Doogee	S300 Plus Thermal	1080	2460	480
Doogee	S300 Pro	1080	2460	480
Doogee	S35	720	1280	320
Doogee	S35_RU	720	1280	320
Doogee	S35Pro	720	1280	320
Doogee	S35T	720	1280	320
Doogee	S40	480	960	240
Doogee	S40Lite	480	960	240
Doogee	S40Pro	720	1440	320
Doogee	S41	720	1440	320
Doogee	S41 Max	720	1440	320
Doogee	S41 Plus	720	1440	320
Doogee	S41Pro	720	1440	320
Doogee	S50	720	1440	320
Doogee	S51	1080	2248	480
Doogee	S55	720	1440	320
Doogee	S55_Lite	720	1440	320
Doogee	S58Pro	720	1520	320
Doogee	S59	720	1520	320
Doogee	S59Pro	720	1520	320
Doogee	S60	1080	1920	480
Doogee	S60 Lite	1080	1920	480
Doogee	S60Lite	1080	1920	480
Doogee	S61	720	1440	320
Doogee	S61Pro	1080	2248	480
Doogee	S68Pro	1080	2280	480
Doogee	S70	1080	2160	480
Doogee	S70Lite	1080	2160	480
Doogee	S80	1080	2160	480
Doogee	S80Lite	1080	2160	480
Doogee	S86	720	1560	320
Doogee	S86Pro	720	1560	320
Doogee	S88Plus	1080	2340	480
Doogee	S88Pro	1080	2340	480
Doogee	S89	1080	2340	480
Doogee	S89Pro	1080	1920	480
Doogee	S90C	1080	2246	480
Doogee	S90Pro	1080	2246	480
Doogee	S95	1080	2340	480
Doogee	S95Pro	1080	2340	480
Doogee	S96GT	1080	2248	480
Doogee	S97Pro	1080	1920	484
Doogee	S98	1080	2248	480
Doogee	S98Pro	1080	2248	480
Doogee	S99	1080	2340	480
Doogee	Shoot_ 1	1080	1920	480
Doogee	Smini	480	1170	240
Doogee	T10	1200	1920	280
Doogee	T10 Pro	1200	1920	280
Doogee	T10E	800	1280	213
Doogee	T10Plus	1200	1920	280
Doogee	T10S	1200	1920	280
Doogee	T10W	800	1280	213
Doogee	T20	1200	2000	280
Doogee	T20Mini	1200	1920	280
Doogee	T20Mini Pro	1200	1920	280
Doogee	T20S	1200	2000	280
Doogee	T20Ultra	1200	2000	280
Doogee	T30 Max	1600	2560	320
Doogee	T30 SE	1200	1920	280
Doogee	T30E	800	1280	213
Doogee	T30Pro	1600	2560	320
Doogee	T30S	1200	1920	280
Doogee	T30Ultra	1600	2560	320
Doogee	T36	1200	2000	280
Doogee	T40	1600	2560	320
Doogee	T40 Pro	1200	2000	280
Doogee	Tab A9	800	1280	213
Doogee	Tab A9 Pro	800	1280	213
Doogee	Tab A9 Pro+	800	1280	213
Doogee	Tab A9+	800	1280	213
Doogee	Tab E3	1200	1920	240
Doogee	Tab E3 Max	1400	2240	240
Doogee	Tab E3 Max	1440	2160	280
Doogee	Tab E3 Pro	1200	1920	240
Doogee	Tab E3+	1200	2000	240
Doogee	Tab G5	800	1280	213
Doogee	Tab G6	800	1280	213
Doogee	Tab G6 Max	1200	1920	280
Doogee	Tab G6 Pro	1200	2000	240
Doogee	Tab G6+	1200	1920	320
Doogee	U10	800	1280	186
Doogee	U10 Pro	800	1280	186
Doogee	U10KID	800	1280	186
Doogee	U11	800	1280	213
Doogee	U11 Kid	800	1280	213
Doogee	U11 Pro	800	1280	213
Doogee	U12	1200	2000	280
Doogee	U13	1200	1920	280
Doogee	U9	800	1280	186
Doogee	U9 Kid	800	1280	186
Doogee	V MAX	1080	2408	480
Doogee	V Max 2 Pro	1080	2460	480
Doogee	V Max LR	1080	2460	480
Doogee	V Max Play	1080	2460	480
Doogee	V Max Plus	1080	2408	480
Doogee	V Max Pro	1080	2408	480
Doogee	V Max S	1080	2408	480
Doogee	V Pad	1200	2000	240
Doogee	V10	720	1560	320
Doogee	V20	1080	2400	480
Doogee	V20Pro	1080	2400	480
Doogee	V20S	1080	2400	480
Doogee	V30Pro	1080	2408	480
Doogee	V30T	1080	2408	480
Doogee	V31GT	1080	2408	480
Doogee	V40	1080	2460	480
Doogee	V40 Pro	1080	2460	480
Doogee	V50	1080	2460	480
Doogee	V50 Ultra	1080	2460	480
Doogee	VPad Pro	1200	1920	280
Doogee	X10	480	854	240
Doogee	X100	720	1280	320
Doogee	X11	480	854	240
Doogee	X20	720	1280	320
Doogee	X20L	720	1280	320
Doogee	X30	720	1280	320
Doogee	X5 MAX	720	1280	320
Doogee	X5 max pro	720	1280	320
Doogee	X50	480	960	240
Doogee	X50L	480	960	240
Doogee	X53	480	960	240
Doogee	X55	640	1280	320
Doogee	X60	480	960	240
Doogee	X60L	640	1280	320
Doogee	X6pro	720	1280	320
Doogee	X70	540	1132	240
Doogee	X7Pro	720	1280	320
Doogee	X80	720	1440	320
Doogee	X90	600	1280	240
Doogee	X90L	600	1280	240
Doogee	X93	600	1280	240
Doogee	X95	540	1200	240
Doogee	X95i	720	1600	320
Doogee	X95Pro	540	1200	240
Doogee	X96	720	1600	320
Doogee	X96Pro	720	1600	320
Doogee	X97	720	1440	320
Doogee	X97Pro	720	1440	320
Doogee	X98	720	1600	320
Doogee	X98Pro	1080	2248	480
Doogee	Y7Plus	1080	2246	480
Doogee	Y8	600	1280	240
Doogee	Y8C	600	1280	240
Doogee	Y8plus	720	1520	320
Doogee	Y9Plus	1080	2280	480
Doppio	Doppio Capuchino	540	1200	220
Doro	Doro 8031	480	854	240
Doro	Doro 8035	720	1280	320
Doro	Doro 8040	720	1280	320
Doro	Doro 8042	720	1280	320
Doro	Doro 8100	720	1560	320
Doro	Doro 8200	720	1560	320
Doro	Doro 824	720	1280	320
Doro	Doro Aurora A10	720	1280	320
Doro	Doro Aurora A20	720	1280	320
Doro	Doro Aurora A30	720	1560	320
Doro	Doro Tablet	1200	2000	280
Doro	DSB-0220	720	1440	320
Doro	DSB-0230	720	1440	320
Doro	Liberto 820	540	960	240
Doro	Liberto 820 Mini	480	800	240
Doro	Liberto 822 / 8030	480	854	240
DOUNDY	DA10	800	1280	200
Dragontouch	Dragon_Touch	1200	1920	240
Dragontouch	DragonTouch	1200	1920	320
Dragontouch	KidzPad_Y88X_8	800	1280	213
Dragontouch	MAX_10_eea	1200	1920	240
Dragontouch	Notepad-K10	800	1280	213
Dragontouch	Notepad102	800	1280	213
Dragontouch	Notepad102_EEA	800	1280	213
Dragontouch	NotePad_102	800	1280	180
Dragontouch	Notepad_Go_801	800	1280	213
Dragontouch	NotePad_Y80	800	1280	160
Dragontouch	NotepadGo801	800	1280	213
Dragontouch	S10M	600	1024	160
Dragontouch	T10M	1200	1920	320
Dragontouch	T12M	1200	1920	320
Dragontouch	T12M_EEA	1200	1920	272
Dragontouch	X10	768	1366	160
Dragontouch	X7	600	1024	160
Dragontouch	Y80	800	1280	160
Dragontouch	Y88X__PLUS	600	1024	160
Dragontouch	Y88X_PRO_EEA	600	1022	160
Dreame	Dreame Smartphone E1	1080	2400	480
DreamMaker	DreamMaker	800	1280	160
DREAMTECH	DTECH10	800	1280	180
DREAMTECH	KIDDOTAB10	800	1280	180
DREAMTECH	KIDDOTAB8	800	1280	213
DREAMTECH	STARPAD	800	1280	213
DREAMTECH	STARPAD_PLUS	800	1280	213
DREAMTECH	VOLTA_X	800	1280	213
DSIC	Mobilebase DS50	480	800	240
DSIC	Mobilebase DS6	720	1280	320
DSIC	Mobilebase DS60S	720	1440	320
DSIC	RD86QE	1200	1920	320
DTAB	TK_P617_3_3Ghz	1200	1920	320
Dtac	Phone X3	1080	1920	480
DTResearch	DA323EO	1080	1920	160
DUNHOO	UPad2	800	1280	213
Dunns	Dunns Pulse Pro	720	1600	320
DUODUOGO	S10	800	1280	160
DUODUOGO	S10_EEA	800	1280	160
DUODUOGO	S7_EEA	800	1332	160
DUODUOGO	S8	800	1280	160
DUODUOGO	Tab_A7	800	1280	213
DUODUOGO	TAB_S2_EEA	800	1280	213
Duubee	DT1052	1200	1920	280
E-LEAD	_712_TAM1A_RSE	800	1280	160
E-LEAD	RSE	1080	1920	240
E-Tel	Q7	800	1280	213
E-Tel	Zen_One	720	1600	320
E-Wealth Mobile	E508	720	1440	320
E-Wealth Mobile	E5701	720	1520	320
e10 ETPad	ETPad	1200	1920	280
e4u(A)	TAB900	800	1280	213
EACHPAI	706	600	1024	213
EACHPAI	Q8	600	1024	160
EACRUGGED	EP500	720	1280	320
EACRUGGED	RG80	800	1280	213
EACRUGGED	Wolf10R	800	1280	240
Eaglesoar	E-764-EEA	600	1024	160
Eaglesoar	E10A_A15_EEA	800	1280	160
Eaglesoar	E_764_EEA	600	1024	160
Eaglesoar	EE-35_EEA	800	1280	213
Eaglesoar	EE-P30_EEA	800	1280	213
Eaglesoar	EE1010_EEA	800	1280	160
Eaglesoar	EE10A	800	1280	213
Eaglesoar	Z_766_EEA	600	1024	160
Easerush	P11	800	1280	213
Easerush	P13	1200	1920	280
Easerush	P7C-E	1200	2000	280
Easerush	P8-E	1200	1920	280
Easymer	K6m_EEA	800	1280	160
Easymer	K6Pro_EEA	800	1280	160
Easymer	X6_EEA	800	1280	160
Easymer	X6Pro_EEA	800	1280	160
EasyPhone	100	720	1440	320
EASYTECK	EK10	800	1280	160
EASYTECK	EK12	1200	2000	240
Echo Mobiles	MODELABS MOBILES	640	1280	280
ecom	Ex-Handy 10	320	432	160
ecom	Smart-Ex02	720	1280	320
ECONNECT	SQ126G	800	1280	160
ECOPAD	A30L1_US	800	1280	213
